dish_id,calories,mass,fat,carb,protein
dish_1561662216,300.794281,193,12.387489,28.21829,18.63397
dish_1561662054,419.438782,292,23.838249,26.351543,25.910593
dish_1562008979,382.936646,290,22.224644,10.17357,35.345387
dish_1560455030,20.59,103,0.148,4.625,0.956
dish_1558372433,74.360001,143,0.286,0.429,20.02
dish_1565640549,45.482903,139,1.568471,7.043886,2.641478
dish_1563207364,309.269989,271,13.774,30.657,15.01
dish_1561575474,120.058434,183,4.966118,17.412746,2.990431
dish_1563216717,246.007996,332,5.636517,16.284782,33.06871
dish_1565972591,195.199997,122,12.2,3.66,17.08
dish_1568649312,44.459999,78,0.234,10.92,0.546
dish_1562183096,41.18898,95,2.571043,3.28026,2.80497
dish_1563476551,1116.391113,750,51.413692,74.705963,85.498482
dish_1559844951,274.335999,122,17.906,22.792,9.784
dish_1562963704,663.755798,479,28.423254,66.054832,35.921761
dish_1566417398,56.892494,46,5.357862,2.088042,0.792647
dish_1561739238,274.190002,257,9.785,37.556999,9.465
dish_1562611680,326.888977,256,19.411798,24.775015,16.028036
dish_1564432238,455.387939,315,23.15468,34.854778,28.074873
dish_1563468327,351.886047,483,9.768622,57.495316,12.099887
dish_1562862493,198.320007,134,14.74,2.144,13.400001
dish_1558549008,20.700001,115,0.23,4.485,1.035
dish_1560453174,329.716248,256,18.145134,10.521854,32.1376
dish_1562691032,419.681702,415,22.039829,39.058826,17.94734
dish_1563824250,17.200001,43,0.043,3.87,0.473
dish_1560543755,257.924927,264,8.887804,27.355255,17.404505
dish_1558549773,2.3,10,0.04,0.36,0.29
dish_1563822597,59.400002,176,2.170667,7.626667,4.106667
dish_1566920365,490.421692,871,5.324439,41.393566,60.675976
dish_1563984242,402.117035,753,3.30239,36.819611,49.407761
dish_1558459276,102.699997,79,0.237,22.120001,2.133
dish_1560974707,55.025124,60,2.003546,7.088692,2.992605
dish_1564686855,1030.160645,435,52.116467,85.930336,56.845505
dish_1565119669,55.965,229,1.0305,10.842,3.2725
dish_1566417516,385.402527,425,36.516472,23.505039,33.699574
dish_1558724031,358.710999,303,25.801001,25.789999,14.067
dish_1558637393,739.968018,128,63.360001,29.056,28.672001
dish_1563393217,49.230003,228,0.467667,9.802668,2.865667
dish_1562789268,569.511536,350,22.733551,64.756828,32.585655
dish_1563998323,634.505066,574,32.486301,35.302532,52.964516
dish_1559700851,61.089886,54,5.827236,1.897059,1.151647
dish_1561492204,488.636322,334,15.686282,49.120712,37.193401
dish_1567613057,406.68631,749,4.968488,45.862511,40.6982
dish_1563996485,178.039185,201,11.607642,16.567097,4.172902
dish_1564761488,327.986023,336,8.358,40.558998,21.735001
dish_1559239151,9.2,40,0.16,1.44,1.16
dish_1559678330,169.694122,150,16.186766,5.269608,3.199019
dish_1563998210,148.089218,91,4.958992,2.163187,22.614895
dish_1565033110,47.599998,147,0.588,9.355,3.418
dish_1564428444,157.001038,277,10.32739,14.948835,4.712034
dish_1558459115,271.540009,298,10.487999,43.459003,6.616
dish_1558723777,74.360001,143,0.286,20.02,0.429
dish_1558721757,768.873047,133,65.834999,30.191,29.792002
dish_1564777960,331.007507,147,16.715342,16.270294,26.4312
dish_1558376306,372.167999,108,29.484001,4.536,20.844
dish_1558114086,74.360001,143,0.286,0.429,20.02
dish_1558720236,887.823059,407,66.440002,60.460999,31.913002
dish_1563468269,129.01001,302,0.56,32.762001,1.768
dish_1558380557,699.320068,212,54.440002,24.960001,32.732002
dish_1562873028,280.3414,320,16.123878,34.232201,20.963665
dish_1558637769,80.079994,154,0.308,21.559999,0.462
dish_1558724959,581.441956,426,36.466,57.004002,21.298
dish_1558115867,132.962997,23,11.385,5.221,5.152
dish_1561580370,126.795876,124,4.96353,16.20141,5.41
dish_1562618000,685.993896,448,36.103981,30.821442,59.159676
dish_1561061658,226.000137,227,12.284481,24.678637,8.949248
dish_1559838402,222.759506,233,3.797,43.154999,5.249
dish_1564686832,829.737549,392,39.732468,64.516342,54.179504
dish_1561753238,298.034393,333,13.71139,14.026631,28.881098
dish_1566938026,450.576294,219,17.546904,37.536308,33.509502
dish_1562617703,179.630005,110,6.49,26.950001,4.51
dish_1559751801,451.635986,343,22.040001,32.778,29.228001
dish_1564000490,532.706482,325,19.150002,49.639648,39.909866
dish_1564000459,485.186493,217,16.882004,44.995647,36.453865
dish_1558457530,16,64,0.192,3.2,1.152
dish_1558723449,74.360001,143,0.286,20.02,0.429
dish_1567628157,373.190979,355,36.018696,25.867041,37.479683
dish_1566502505,454.517365,275,22.45969,33.146801,31.874937
dish_1565728415,194.42775,80,8.405299,16.724396,12.005533
dish_1565383026,171.559998,287,14.031,12.198999,3.695
dish_1558642089,39.360001,96,0.192,9.6,0.864
dish_1566849923,127.970001,240,7.515,16.214001,2.093
dish_1562959732,374.663696,232,14.678156,31.110981,28.858997
dish_1560368972,196.840424,107,8.696033,13.621221,14.67344
dish_1566502537,517.644226,315,24.27223,34.292435,41.827816
dish_1561576590,29.231468,101,1.295191,3.387423,0.896671
dish_1558723866,14.75,59,0.177,2.95,1.062
dish_1564778030,504.417786,283,31.904985,23.514265,30.773952
dish_1561392512,42.75,75,0.225,10.5,0.525
dish_1564675118,177.188782,238,4.080829,34.125175,2.032732
dish_1566838407,358.947601,558,9.825659,62.420345,9.731463
dish_1559319860,70.330002,13,5.46,0.182,4.81
dish_1559242568,116.116005,203,0.203,30.855999,0.812
dish_1563824339,85.339996,175,4.087,12.075,2.098
dish_1567021831,252.435623,228,27.216339,8.228521,22.713125
dish_1559846099,206.938995,114,14.642001,15.712999,7.688
dish_1562873155,41.33675,79,2.052025,5.39175,1.38645
dish_1562094621,10.54,34,0.034,2.38,0.612
dish_1563900150,202.2966,154,12.745122,10.284879,10.978048
dish_1562086702,178.529999,33,13.86,0.462,12.21
dish_1564429894,498.769836,566,11.819027,73.531738,25.254065
dish_1561662458,124.815498,119,4.855837,21.055183,3.202388
dish_1558720364,73.839996,142,0.284,19.879999,0.426
dish_1559845290,66.220001,86,0.086,14.62,1.72
dish_1559844506,98.959999,180,0.459,25.1,1.312
dish_1560360055,362.734009,180,27.786999,4.154,22.556999
dish_1567106825,220.200867,104,16.905151,3.357732,13.460875
dish_1562099053,98.382996,37,3.478,12.395,4.144
dish_1560453380,411.388397,480,15.234276,25.491495,41.922752
dish_1566849327,551.702026,362,31.255999,14.87,55.122002
dish_1560527191,663.989319,318,45.395912,28.933577,34.38044
dish_1563898786,420.928467,344,31.47023,11.427504,23.636036
dish_1560973958,145.313232,121,6.214187,20.729744,4.312272
dish_1558546663,330.734009,197,22.108002,30.264,10.601
dish_1563206582,229.248688,320,4.417208,16.967773,26.033964
dish_1565207815,40.848213,80,1.023567,7.094023,2.678475
dish_1568305257,837.147766,420,65.496887,9.31325,52.072983
dish_1568314823,144,90,13.500001,8.1,1.8
dish_1565119464,504.065033,223,23.109737,44.41399,28.041883
dish_1565725047,77.659996,110,4.84,9.372,0.946
dish_1559841163,357.043518,335,18.222002,27.539,21.153002
dish_1563568338,631.706665,371,29.600521,57.599113,38.704674
dish_1563468299,210.350006,385,4.129,35.584,10.898
dish_1558027001,20.400002,68,0.068,5.168,0.408
dish_1565033265,1324.084961,625,106.343002,19.202002,76.664001
dish_1563475921,244.343323,348,6.723852,27.165054,19.799664
dish_1561665024,100.570984,121,6.984664,8.948565,2.141329
dish_1563813308,224.982895,76,16.446194,3.901661,15.332276
dish_1561062555,47.093922,32,3.147569,4.405365,1.027732
dish_1558723414,51.988998,49,1.176,10.78,1.519
